Name,Absolute_magnitude,Color_index,Diameter_km,Argument_of_perihelion,Longitude_of_ascending_node,Inclination,Eccentricity,Semimajor_axis_AU
Carlova,8.56,0.68,115.8,289.973158,132.196595,11.741639,0.17371964,3.0047068
Bononia,8.45,0.75,141.7,68.029626,18.784411,12.613578,0.21049856,3.96930954
Isara,9.81,0.89,28.0,313.149855,105.514219,6.00455,0.14902475,2.22053754
Corduba,9.25,0.72,105.9,215.451118,185.141284,12.800579,0.1561703,2.80225608
Haidea,10.00,0.73,69.6,95.530993,226.295389,7.799109,0.20128876,3.07178301
Aeria,8.70,0.71,60.0,269.986212,94.142643,12.717995,0.09722578,2.6481222
Bohemia,8.70,0.82,54.6,342.121494,283.377487,7.400296,0.06327037,2.7270636
Melusina,9.16,0.67,95.8,349.05694,3.632293,15.378374,0.13781486,3.12234398
Burgundia,8.83,0.85,44.7,26.125344,218.981954,8.994436,0.07898006,2.78006767
Geometria,9.53,0.88,34.9,316.659796,301.963752,5.430969,0.17275958,2.28783033
Campania,9.09,0.75,91.0,196.35205,209.930593,6.677563,0.07541334,2.69050564
Holmia,9.87,0.84,26.7,156.795618,232.352843,7.01079,0.13072364,2.77743343
Huenna,9.02,0.67,92.3,180.843065,171.857542,1.670691,0.17975793,3.1434545
Fiducia,9.57,0.71,73.2,240.21375,95.02467,6.16169,0.1128047,2.67840515
